video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00510,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00511,true,fighting_or_violence,3.000,6.000,"A motorcycle carrying two passengers collides with a uniformed individual who steps directly into its path near a building entrance, causing the riders to be thrown to the ground and the motorcycle to fall. The incident immediately triggers a physical altercation between the motorcycle riders and the uniformed man. The root cause of the collision is the pedestrian's failure to yield the right-of-way, as he stepped into the trajectory of the moving vehicle without ensuring the path was clear."
TR00512,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00513,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00514,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00515,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00516,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00517,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00518,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00519,true,fighting_or_violence,0.000,26.342,"A physical fight, assault, or violent confrontation occurs."
TR00520,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00521,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00522,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00523,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00524,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00525,true,fighting_or_violence,0.000,4.631,"A physical fight, assault, or violent confrontation occurs."
TR00526,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00527,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00528,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00529,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
